id_evento;tipo;titulo;fecha;hora;id_sala
01;CHARLA;Charla sobre geopolitica;02-12-2024;18;26
02;DEBATE;Debate sobre la cocina vasca;05-12-2024;18;27
03;SEMINARIO;Seminario sobre Mecanica de Fluidos;05-12-2024;16;20
04;CHARLA;Charla sobre ciberseguridad en IoT;10-12-2024;17;20
05;CHARLA;Charla sobre los insectos en Bizkaia;11-12-2024;16;22
06;TALLER;Taller de Scratch;13-12-2024;19;26
07;DEBATE;Debate sobre el arte contemporaneo;16-12-2024;12;24
08;CHARLA;Charla sobre el urbanismo en Bilbao;16-12-2024;16;30
09;DEBATE;Debate sobre Web Frameworks;16-12-2024;16;27
10;SEMINARIO;Seminario sobre Algebra de Conjuntos;17-12-2024;19;26
11;SEMINARIO;Seminario sobre Derecho Penal;08-01-2025;18;29
12;TALLER;Taller de dibujo impresionista;12-01-2025;17;28
13;CHARLA;Charla sobre formacion laboral;13-01-2025;15;25
14;CHARLA;Charla sobre el impacto de los videojuegos;16-01-2025;18;26
15;DEBATE;Debate sobre la regulacion ambiental;18-01-2025;18;21
16;SEMINARIO;Seminario sobre Automatizacion Industrial;20-01-2025;19;26
17;TALLER;Taller de JavaScript;20-01-2025;16;22
18;SEMINARIO;Seminario sobre Programacion Orientada a Objetos;22-01-2025;17;23
19;CHARLA;Charla sobre literatura universal;23-01-2025;15;24
20;CHARLA;Charla sobre la organizacion de tareas;23-01-2025;18;21
